Place of Interest|tipo_centro|Place address|BiciMAD Station|Station Location|dock_bikes
Museo Postal y Telegráfico|Museos|CALLE TAPIA DE CASARIEGO 6|Facultad Derecho|Avenida Complutense nº 23|5
Museo Sorolla|Museos|PASEO GENERAL MARTINEZ CAMPOS 37|General Martínez Campos |Calle Fernández de la Hoz nº 29|0
Museo Taurino de la Comunidad de Madrid|Museos|CALLE ALCALA 237|Alcalá-Ventas|Calle Alejandro González nº 1|9
Museo Tiflológico|Museos|CALLE LA CORUÑA 18|San Germán 57|Calle San Germán nº 57|13
Museo de Aeronáutica y Astronáutica|Museos|AUTOVIA A-5 10.700 Km. 10,5|Caramuel|Calle Caramuel nº 51|14
Museo de América|Museos|AVENIDA REYES CATOLICOS 6|Moncloa|Paseo de Moret nº 2|13
Museo de Arte Contemporáneo de Madrid|Museos|CALLE CONDE DUQUE 9|Conde Duque|Calle Conde Duque nº 22|6
Museo de Astronomía y Geodesia|Museos|PLAZA CIENCIAS 3|Facultad Biología|Calle José Antonio Novais frente al nº 12|9
Museo de Bomberos de Madrid|Museos|CALLE BOADA 4|Sierra Toledana|Camino de Valderribas nº 94|10
Museo de Calcografía Nacional|Museos|CALLE ALCALA 13|Puerta del Sol B|Puerta del Sol nº 1|22
Museo de Cera|Museos|PASEO RECOLETOS 41|Marqués de la Ensenada|Calle Marqués de la Ensenada nº 16|0
Museo de Escultura al Aire Libre de la Castellana|Museos|PASEO CASTELLANA 40|Castellana 42|Paseo de la Castellana nº 42|8
Museo de Historia de Madrid|Museos|CALLE FUENCARRAL 78|Barceló|Calle Barceló nº 7|18
Museo de Historia de la Comunidad Judía de Madrid|Museos|CALLE BALMES 3|Santa Engracia 87|Calle Santa Engracia nº 87|13
Museo de Mineralogía|Museos|CALLE FRANCISCO TOMAS Y VALIENTE 7 Facultad de Ciencias - Departamento Geología y Geoquímica|Pedro Rico|Calle Pedro Rico nº 4|13
Museo de San Isidro. Los Orígenes de Madrid|Museos|PLAZA SAN ANDRES 1|Plaza de los Carros|Carrera de San Francisco nº 1|20
Museo de Sanidad e Higiene Pública|Museos|AVENIDA MONFORTE DE LEMOS 5|Torre Cepsa|Calle Sinesio Delgado nº 2|14
Museo de la Biblioteca Nacional de España|Museos|PASEO RECOLETOS 20 y 22|Biblioteca Nacional|Paseo de Recoletos nº 20|2
Museo de la Catedral de la Almudena|Museos|CALLE BAILEN 10|Segovia 26|Calle Segovia nº 26|8
Museo de la Farmacia Hispana|Museos|PLAZA RAMON Y CAJAL Facultad de Farmacia|Ciudad Universitaria 1|Avenida de la Complutense (Metro Ciudad Universitaria)|0
Museo de la Guardia Civil|Museos|CALLE GUZMAN EL BUENO 110|Reina Victoria|Calle Beatriz de Bobadilla frente al nº 2|1
Museo de la Real Academia de Bellas Artes de San Fernando|Museos|CALLE ALCALA 13|Puerta del Sol B|Puerta del Sol nº 1|22
Museo del Ferrocarril de Madrid|Museos|PASEO DELICIAS 61|Delicias|Calle Bustamante nº 1|6
Museo del Prado|Museos|CALLE RUIZ DE ALARCON 23|Espalter|Calle Espalter nº 1|7
Museo del Reloj Grassy|Museos|CALLE GRAN VIA 1|Sevilla|Calle Alcalá nº 27|17
Museo del Romanticismo|Museos|CALLE SAN MATEO 13|Hortaleza|Calle Hortaleza nº 75|10
Museo del Seguro. Fundación Mapfre|Museos|CALLE BARBARA DE BRAGANZA 14|Biblioteca Nacional|Paseo de Recoletos nº 20|2
